"","lga_id","X_id_facility_list","total_facility_list","matched_facility_list","rejected_facility_list","finished_facility_list","left_facility_list","full_facility_list","edu_total_facility_list","edu_matched_facility_list","edu_rejected_facility_list","edu_finished_facility_list","edu_left_facility_list","health_total_facility_list","health_matched_facility_list","health_rejected_facility_list","health_finished_facility_list","health_left_facility_list","state_facility_list","lga_facility_list","zone_facility_list","X_id_baseline","total_baseline","matched_baseline","rejected_baseline","finished_baseline","left_baseline","full_baseline","edu_total_baseline","edu_matched_baseline","edu_rejected_baseline","edu_finished_baseline","edu_left_baseline","health_total_baseline","health_matched_baseline","health_rejected_baseline","health_finished_baseline","health_left_baseline","state_baseline","lga_baseline","zone_baseline"
"391",396,"51b0b213b0593c9c276ed381",350,108,0,108,242,TRUE,259,85,0,85,174,91,23,0,23,68,"kaduna","kaduna_south","northwest","51b0b206b0593c9c276ec7aa",139,108,5,113,26,TRUE,114,85,3,88,26,25,23,2,25,0,"kaduna","kaduna_south","northwest"
"392",397,"51b0b213b0593c9c276ed218",190,65,0,65,125,TRUE,159,55,0,55,104,31,10,0,10,21,"jigawa","kafin_hausa","northwest","51b0b206b0593c9c276ec8be",68,65,3,68,0,TRUE,57,55,2,57,0,11,10,1,11,0,"jigawa","kafin_hausa","northwest"
"393",398,"51b0b213b0593c9c276ed1e2",169,78,0,78,91,TRUE,104,48,0,48,56,65,30,0,30,35,"katsina","kafur","northwest","51b0b206b0593c9c276ec950",129,78,51,129,0,TRUE,81,48,33,81,0,48,30,18,48,0,"katsina","kafur","NA"
"394",399,"51b0b213b0593c9c276ed21f",54,46,0,46,8,TRUE,39,31,0,31,8,15,15,0,15,0,"borno","kaga","northeast","51b0b206b0593c9c276ec853",52,46,6,52,0,TRUE,34,31,3,34,0,18,15,3,18,0,"borno","kaga","northeast"
"395",400,"51b0b213b0593c9c276ed1e6",254,175,0,175,79,TRUE,202,145,0,145,57,52,30,0,30,22,"kaduna","kagarko","northwest","51b0b206b0593c9c276ec852",237,175,60,235,2,TRUE,198,145,51,196,2,39,30,9,39,0,"kaduna","kagarko","northwest"
"396",401,"51b0b213b0593c9c276ed32a",296,117,0,117,179,TRUE,253,89,0,89,164,43,28,0,28,15,"kwara","kaiama","north_central","51b0b206b0593c9c276ec912",132,117,15,132,0,TRUE,100,89,11,100,0,32,28,4,32,0,"kwara","kaiama","north_central"
"397",402,"51b0b213b0593c9c276ed3a5",50,40,0,40,10,TRUE,31,27,0,27,4,19,13,0,13,6,"katsina","kaita","northwest","51b0b206b0593c9c276ec9ab",108,40,68,108,0,TRUE,73,27,46,73,0,35,13,22,35,0,"katsina","kaita","northwest"
"398",403,"51b0b213b0593c9c276ed2c5",156,84,0,84,72,TRUE,129,68,0,68,61,27,16,0,16,11,"oyo","kajola","southwest","51b0b206b0593c9c276ec9dd",97,84,13,97,0,TRUE,77,68,9,77,0,20,16,4,20,0,"oyo","kajola","southwest"
"399",404,"51b0b213b0593c9c276ed341",250,92,0,92,158,TRUE,194,76,0,76,118,56,16,0,16,40,"kaduna","kajuru","northwest","51b0b206b0593c9c276ec9c7",104,92,12,104,0,TRUE,85,76,9,85,0,19,16,3,19,0,"kaduna","kajuru","northwest"
"400",405,"51b0b213b0593c9c276ed2cf",46,24,0,24,22,TRUE,34,15,0,15,19,12,9,0,9,3,"borno","kala_balge","northeast","51b0b206b0593c9c276ec968",33,24,9,33,0,TRUE,24,15,9,24,0,9,9,0,9,0,"borno","kala_balge","northeast"
"401",406,"51b0b213b0593c9c276ed2a2",96,54,0,54,42,TRUE,65,38,0,38,27,31,16,0,16,15,"kebbi","kalgo","northwest","51b0b206b0593c9c276ec83b",57,54,3,57,0,TRUE,39,38,1,39,0,18,16,2,18,0,"kebbi","kalgo","northwest"
"402",407,"51b0b213b0593c9c276ed2ac",236,23,0,23,213,TRUE,178,15,0,15,163,58,8,0,8,50,"gombe","kaltungo","northeast","51b0b206b0593c9c276ec845",24,23,1,24,0,TRUE,15,15,0,15,0,9,8,1,9,0,"gombe","kaltungo","northeast"
"403",408,"51b0b213b0593c9c276ed281",331,152,0,152,179,TRUE,212,114,0,114,98,119,38,0,38,81,"plateau","kanam","north_central","51b0b206b0593c9c276ec7ab",210,152,49,201,9,TRUE,160,114,39,153,7,50,38,10,48,2,"plateau","kanam","north_central"
"404",409,"51b0b213b0593c9c276ed213",152,72,0,72,80,TRUE,93,42,0,42,51,59,30,0,30,29,"katsina","kankara","northwest","51b0b206b0593c9c276ec987",143,72,71,143,0,TRUE,98,42,56,98,0,45,30,15,45,0,"katsina","kankara","northwest"
"405",410,"51b0b213b0593c9c276ed10c",217,156,0,156,61,TRUE,156,102,0,102,54,61,54,0,54,7,"plateau","kanke","north_central","51b0b206b0593c9c276ec740",185,158,17,175,10,TRUE,124,102,12,114,10,61,56,5,61,0,"plateau","kanke","north_central"
"406",411,"51b0b213b0593c9c276ed21e",125,104,0,104,21,TRUE,82,69,0,69,13,43,35,0,35,8,"katsina","kankia","northwest","51b0b206b0593c9c276ec7ac",126,104,19,123,3,TRUE,78,69,6,75,3,48,35,13,48,0,"katsina","kankia","northwest"
"407",412,"51b0b213b0593c9c276ed261",39,4,0,4,35,TRUE,25,3,0,3,22,14,1,0,1,13,"kano","kano_municipal","northwest","51b0b206b0593c9c276ec900",22,4,18,22,0,TRUE,20,3,17,20,0,2,1,1,2,0,"kano","kano_municipal","northwest"
"408",413,"51b0b213b0593c9c276ed0fc",68,52,0,52,16,TRUE,42,40,0,40,2,26,12,0,12,14,"yobe","karasuwa","northeast","51b0b206b0593c9c276ec8d4",62,52,10,62,0,TRUE,47,40,7,47,0,15,12,3,15,0,"yobe","karasuwa","northeast"
"409",414,"51b0b213b0593c9c276ed2c9",84,50,0,50,34,TRUE,63,32,0,32,31,21,18,0,18,3,"kano","karaye","northwest","51b0b206b0593c9c276ec7ad",175,50,0,50,125,TRUE,152,32,0,32,120,23,18,0,18,5,"kano","karaye","northwest"
"410",415,"51b0b213b0593c9c276ed395",367,220,0,220,147,TRUE,251,156,0,156,95,116,64,0,64,52,"taraba","karim_lamido","northeast","51b0b206b0593c9c276ec738",263,219,0,219,44,TRUE,182,155,0,155,27,81,64,0,64,17,"taraba","KARIN_LAMIDO","northeast"
"411",416,"51b0b213b0593c9c276ed337",171,65,0,65,106,TRUE,47,25,0,25,22,124,40,0,40,84,"nasarawa","karu","north_central","51b0b206b0593c9c276ec951",305,65,240,305,0,TRUE,217,25,192,217,0,88,40,48,88,0,"nasarawa","karu","north_central"
"412",418,"51b0b213b0593c9c276ed1a4",281,234,0,234,47,TRUE,223,186,0,186,37,58,48,0,48,10,"niger","katcha","north_central","51b0b206b0593c9c276ec97c",234,234,0,234,0,TRUE,186,186,0,186,0,48,48,0,48,0,"niger","katcha","north_central"
"413",419,"51b0b213b0593c9c276ed2d4",193,69,0,69,124,TRUE,148,50,0,50,98,45,19,0,19,26,"katsina","katsina","northwest","51b0b206b0593c9c276ec9a5",142,69,73,142,0,TRUE,98,50,48,98,0,44,19,25,44,0,"katsina","katsina","northwest"
"414",420,"51b0b213b0593c9c276ed34e",205,55,0,55,150,TRUE,150,33,0,33,117,55,22,0,22,33,"benue","katsina_ala","north_central","51b0b206b0593c9c276ec8c6",237,55,182,237,0,TRUE,161,33,128,161,0,76,22,54,76,0,"benue","katsina_ala","north_central"
"415",421,"51b0b213b0593c9c276ed1c0",279,52,0,52,227,TRUE,221,40,0,40,181,58,12,0,12,46,"kaduna","kaura","northwest","51b0b206b0593c9c276ec7ae",65,52,8,60,5,TRUE,52,40,7,47,5,13,12,1,13,0,"kaduna","kaura","northwest"
"416",422,"51b0b213b0593c9c276ed13e",205,133,0,133,72,TRUE,149,85,0,85,64,56,48,0,48,8,"zamfara","kaura_namoda","northwest","51b0b206b0593c9c276ec7af",163,133,0,133,30,TRUE,110,85,0,85,25,53,48,0,48,5,"zamfara","kaura_namoda","northwest"
"417",423,"51b0b213b0593c9c276ed1ce",261,76,0,76,185,TRUE,208,66,0,66,142,53,10,0,10,43,"kaduna","kauru","northwest","51b0b206b0593c9c276ec7b0",133,76,1,77,56,TRUE,111,66,1,67,44,22,10,0,10,12,"kaduna","kauru","northwest"
"418",424,"51b0b213b0593c9c276ed39f",88,72,0,72,16,TRUE,59,52,0,52,7,29,20,0,20,9,"jigawa","kazaure","northwest","51b0b206b0593c9c276ec7b1",80,72,6,78,2,TRUE,59,52,5,57,2,21,20,1,21,0,"jigawa","kazaure","northwest"
"419",425,"51b0b213b0593c9c276ed1df",77,52,0,52,25,TRUE,40,30,0,30,10,37,22,0,22,15,"nasarawa","keana","north_central","51b0b206b0593c9c276ec926",105,52,53,105,0,TRUE,75,30,45,75,0,30,22,8,30,0,"nasarawa","keana","north_central"
"420",426,"51b0b213b0593c9c276ed300",38,20,0,20,18,TRUE,34,16,0,16,18,4,4,0,4,0,"sokoto","kebbe","northwest","51b0b206b0593c9c276ec7b2",94,20,0,20,74,TRUE,67,16,0,16,51,27,4,0,4,23,"sokoto","kebbe","northwest"
"421",427,"51b0b213b0593c9c276ed1cb",123,85,0,85,38,TRUE,85,57,0,57,28,38,28,0,28,10,"nasarawa","keffi","north_central","51b0b206b0593c9c276ec920",121,84,37,121,0,TRUE,84,56,28,84,0,37,28,9,37,0,"nasarawa","keffi","north_central"
"422",428,"51b0b213b0593c9c276ed32e",186,108,0,108,78,TRUE,155,90,0,90,65,31,18,0,18,13,"rivers","khana","south_south","51b0b206b0593c9c276ec9de",145,108,37,145,0,TRUE,118,90,28,118,0,27,18,9,27,0,"rivers","khana","south_south"
"423",429,"51b0b213b0593c9c276ed23b",83,70,0,70,13,TRUE,62,53,0,53,9,21,17,0,17,4,"kano","kibiya","northwest","51b0b206b0593c9c276ec85a",131,70,61,131,0,TRUE,111,53,58,111,0,20,17,3,20,0,"kano","kibiya","northwest"
"424",430,"51b0b213b0593c9c276ed0ea",184,30,0,30,154,TRUE,142,10,0,10,132,42,20,0,20,22,"bauchi","kirfi","northeast","51b0b206b0593c9c276ec739",119,30,9,39,80,TRUE,87,10,3,13,74,32,20,6,26,6,"bauchi","KIRFI","northeast"
"425",431,"51b0b213b0593c9c276ed25e",120,76,0,76,44,TRUE,96,61,0,61,35,24,15,0,15,9,"jigawa","kiri_kasamma","northwest","51b0b206b0593c9c276ec8bf",80,76,4,80,0,TRUE,64,61,3,64,0,16,15,1,16,0,"jigawa","kiri_kasamma","northwest"
"426",432,"51b0b213b0593c9c276ed369",209,140,0,140,69,TRUE,179,118,0,118,61,30,22,0,22,8,"kano","kiru","northwest","51b0b206b0593c9c276ec7b3",173,140,0,140,33,TRUE,149,118,0,118,31,24,22,0,22,2,"kano","kiru","northwest"
"427",433,"51b0b213b0593c9c276ed299",137,55,0,55,82,TRUE,101,45,0,45,56,36,10,0,10,26,"jigawa","kiyawa","northwest","51b0b206b0593c9c276ec7b4",62,55,5,60,2,TRUE,52,45,5,50,2,10,10,0,10,0,"jigawa","kiyawa","northwest"
"428",434,"51b0b213b0593c9c276ed157",180,89,0,89,91,TRUE,120,56,0,56,64,60,33,0,33,27,"kogi","kogi","north_central","51b0b206b0593c9c276ec9b0",159,89,70,159,0,TRUE,120,56,64,120,0,39,33,6,39,0,"kogi","kogi","north_central"
"429",435,"51b0b213b0593c9c276ed2ec",81,4,0,4,77,TRUE,61,2,0,2,59,20,2,0,2,18,"kebbi","koko_besse","northwest","51b0b206b0593c9c276ec7b5",8,4,2,6,2,TRUE,5,2,2,4,1,3,2,0,2,1,"kebbi","koko_besse","northwest"
"430",436,"51b0b213b0593c9c276ed0e1",186,105,0,105,81,TRUE,117,65,0,65,52,69,40,0,40,29,"nasarawa","kokona","north_central","51b0b206b0593c9c276ec8ae",176,105,71,176,0,TRUE,117,65,52,117,0,59,40,19,59,0,"nasarawa","kokona","north_central"
"431",437,"51b0b213b0593c9c276ed125",98,53,0,53,45,TRUE,85,45,0,45,40,13,8,0,8,5,"bayelsa","kolokuma_opokuma","south_south","51b0b206b0593c9c276ec99e",63,53,10,63,0,TRUE,48,45,3,48,0,15,8,7,15,0,"bayelsa","kolokuma_opokuma","south_south"
"432",438,"51b0b213b0593c9c276ed323",110,26,0,26,84,TRUE,83,0,0,0,83,27,26,0,26,1,"borno","konduga","northeast","51b0b206b0593c9c276ec7b6",104,26,19,45,59,TRUE,59,0,0,0,59,45,26,19,45,0,"borno","konduga","northeast"
"433",439,"51b0b213b0593c9c276ed365",238,160,0,160,78,TRUE,167,125,0,125,42,71,35,0,35,36,"benue","konshisha","north_central","51b0b206b0593c9c276ec8ff",253,160,93,253,0,TRUE,200,125,75,200,0,53,35,18,53,0,"benue","konshisha","north_central"
"434",440,"51b0b213b0593c9c276ed123",91,26,0,26,65,TRUE,46,3,0,3,43,45,23,0,23,22,"niger","kontagora","north_central","51b0b206b0593c9c276ec7b7",71,26,0,26,45,TRUE,44,3,0,3,41,27,23,0,23,4,"niger","kontagora","NA"
"435",441,"51b0b213b0593c9c276ed278",504,205,0,205,299,TRUE,271,103,0,103,168,233,102,0,102,131,"lagos","kosofe","southwest","51b0b206b0593c9c276ec8b7",346,205,136,341,5,TRUE,220,103,115,218,2,126,102,21,123,3,"lagos","kosofe","southwest"
"436",442,"51b0b213b0593c9c276ed2ce",112,38,0,38,74,TRUE,94,31,0,31,63,18,7,0,7,11,"jigawa","kaugama","northwest","51b0b206b0593c9c276ec8d1",39,38,1,39,0,TRUE,31,31,0,31,0,8,7,1,8,0,"jigawa","kaugama","northwest"
"437",443,"51b0b213b0593c9c276ed1ef",402,17,0,17,385,TRUE,308,14,0,14,294,94,3,0,3,91,"kaduna","kubau","northwest","51b0b206b0593c9c276ec7b8",23,17,1,18,5,TRUE,19,14,0,14,5,4,3,1,4,0,"kaduna","kubau","northwest"
"438",444,"51b0b213b0593c9c276ed1cf",142,66,0,66,76,TRUE,103,46,0,46,57,39,20,0,20,19,"kaduna","kudan","northwest","51b0b206b0593c9c276ec7b9",70,66,0,66,4,TRUE,49,46,0,46,3,21,20,0,20,1,"kaduna","kudan","northwest"
"439",445,"51b0b213b0593c9c276ed1cd",40,0,0,0,40,TRUE,18,0,0,0,18,22,0,0,0,22,"fct","kuje","north_central","51b0b206b0593c9c276ec814",83,0,0,0,83,TRUE,46,0,0,0,46,37,0,0,0,37,"fct","KUJE","north_central"
"440",446,"51b0b213b0593c9c276ed1f6",50,48,0,48,2,TRUE,35,33,0,33,2,15,15,0,15,0,"borno","kukawa","northeast","51b0b206b0593c9c276ec7ba",66,48,12,60,6,TRUE,42,33,6,39,3,24,15,6,21,3,"borno","kukawa","northeast"
"441",447,"51b0b213b0593c9c276ed0d5",253,72,0,72,181,TRUE,230,61,0,61,169,23,11,0,11,12,"kano","kumbotso","northwest","51b0b206b0593c9c276ec8a2",131,72,58,130,1,TRUE,119,61,57,118,1,12,11,1,12,0,"kano","kumbotso","northwest"
"442",448,"51b0b213b0593c9c276ed3b3",77,77,0,77,0,TRUE,55,55,0,55,0,22,22,0,22,0,"taraba","kurmi","northeast","51b0b206b0593c9c276ec7bb",121,77,42,119,2,TRUE,91,55,34,89,2,30,22,8,30,0,"taraba","kurmi","northeast"
"443",449,"51b0b213b0593c9c276ed27d",43,40,0,40,3,TRUE,41,39,0,39,2,2,1,0,1,1,"kano","kunchi","northwest","51b0b206b0593c9c276ec7bc",136,40,0,40,96,TRUE,108,39,0,39,69,28,1,0,1,27,"kano","kunchi","northwest"
"444",450,"51b0b213b0593c9c276ed24e",153,90,0,90,63,TRUE,130,70,0,70,60,23,20,0,20,3,"kano","kura","northwest","51b0b206b0593c9c276ec7bd",103,90,9,99,4,TRUE,79,70,5,75,4,24,20,4,24,0,"kano","kura","northwest"
"445",451,"51b0b213b0593c9c276ed311",130,103,0,103,27,TRUE,84,71,0,71,13,46,32,0,32,14,"katsina","kurfi","northwest","51b0b206b0593c9c276ec7be",127,102,22,124,3,TRUE,81,70,10,80,1,46,32,12,44,2,"katsina","kurfi","northwest"
"446",452,"51b0b213b0593c9c276ed1b3",83,28,0,28,55,TRUE,45,16,0,16,29,38,12,0,12,26,"katsina","kusada","northwest","51b0b206b0593c9c276ec901",44,28,16,44,0,TRUE,32,16,16,32,0,12,12,0,12,0,"katsina","kusada","northwest"
"447",453,"51b0b213b0593c9c276ed1b7",465,96,0,96,369,TRUE,356,71,0,71,285,109,25,0,25,84,"fct","kwali","north_central","51b0b206b0593c9c276ec7bf",115,95,7,102,13,TRUE,86,71,2,73,13,29,24,5,29,0,"fct","kwali","north_central"
"448",454,"51b0b213b0593c9c276ed363",298,179,0,179,119,TRUE,232,143,0,143,89,66,36,0,36,30,"benue","kwande","north_central","51b0b206b0593c9c276ec8cc",334,179,155,334,0,TRUE,265,143,122,265,0,69,36,33,69,0,"benue","kwande","north_central"
"449",455,"51b0b213b0593c9c276ed148",152,130,0,130,22,TRUE,108,96,0,96,12,44,34,0,34,10,"gombe","kwami","northeast","51b0b206b0593c9c276ec895",142,130,12,142,0,TRUE,105,96,9,105,0,37,34,3,37,0,"gombe","kwami","northeast"
"450",456,"51b0b213b0593c9c276ed314",108,74,0,74,34,TRUE,79,60,0,60,19,29,14,0,14,15,"sokoto","kware","northwest","51b0b206b0593c9c276ec7c0",94,74,0,74,20,TRUE,77,60,0,60,17,17,14,0,14,3,"sokoto","kware","northwest"
"451",457,"51b0b213b0593c9c276ed38b",66,6,0,6,60,TRUE,52,4,0,4,48,14,2,0,2,12,"borno","kwaya_kusar","northeast","51b0b206b0593c9c276ec982",7,6,1,7,0,TRUE,4,4,0,4,0,3,2,1,3,0,"borno","kwaya_kusar","northeast"
"452",458,"51b0b213b0593c9c276ed1d9",99,37,0,37,62,TRUE,73,27,0,27,46,26,10,0,10,16,"nasarawa","lafia","north_central","51b0b206b0593c9c276ec952",319,37,282,319,0,TRUE,224,27,197,224,0,95,10,85,95,0,"nasarawa","lafia","north_central"
"453",459,"51b0b213b0593c9c276ed255",258,93,0,93,165,TRUE,211,70,0,70,141,47,23,0,23,24,"oyo","lagelu","southwest","51b0b206b0593c9c276ec889",95,93,2,95,0,TRUE,71,70,1,71,0,24,23,1,24,0,"oyo","lagelu","southwest"
"454",460,"51b0b213b0593c9c276ed132",165,70,0,70,95,TRUE,115,46,0,46,69,50,24,0,24,26,"lagos","lagos_island","southwest","51b0b206b0593c9c276ec8d8",165,70,95,165,0,TRUE,115,46,69,115,0,50,24,26,50,0,"lagos","lagos_island","southwest"
"455",461,"51b0b213b0593c9c276ed129",193,72,0,72,121,TRUE,152,60,0,60,92,41,12,0,12,29,"lagos","lagos_mainland","southwest","51b0b206b0593c9c276ec953",190,72,118,190,0,TRUE,150,60,90,150,0,40,12,28,40,0,"lagos","lagos_mainland","southwest"
"456",462,"51b0b213b0593c9c276ed0bc",217,113,0,113,104,TRUE,135,81,0,81,54,82,32,0,32,50,"plateau","langtang_south","north_central","51b0b206b0593c9c276ec86f",146,113,33,146,0,TRUE,101,81,20,101,0,45,32,13,45,0,"plateau","langtang_south","north_central"
"457",463,"51b0b213b0593c9c276ed1f4",242,114,0,114,128,TRUE,184,74,0,74,110,58,40,0,40,18,"plateau","langtang_north","north_central","51b0b206b0593c9c276ec87b",149,114,35,149,0,TRUE,91,74,17,91,0,58,40,18,58,0,"plateau","langtang_north","north_central"
"458",464,"51b0b213b0593c9c276ed1aa",288,219,0,219,69,TRUE,214,161,0,161,53,74,58,0,58,16,"niger","lapai","north_central","51b0b206b0593c9c276ec8a5",219,219,0,219,0,TRUE,161,161,0,161,0,58,58,0,58,0,"niger","lapai","north_central"
"459",465,"51b0b213b0593c9c276ed1a7",203,38,0,38,165,TRUE,142,29,0,29,113,61,9,0,9,52,"adamawa","lamurde","northeast","51b0b206b0593c9c276ec98c",49,38,11,49,0,TRUE,37,29,8,37,0,12,9,3,12,0,"adamawa","lamurde","northeast"
"460",466,"51b0b213b0593c9c276ed37c",192,98,0,98,94,TRUE,136,79,0,79,57,56,19,0,19,37,"taraba","lau","northeast","51b0b206b0593c9c276ec7c1",160,98,0,98,62,TRUE,120,79,0,79,41,40,19,0,19,21,"taraba","lau","northeast"
"461",467,"51b0b213b0593c9c276ed3ab",297,287,0,287,10,TRUE,203,203,0,203,0,94,84,0,84,10,"niger","lavun","north_central","51b0b206b0593c9c276ec73e",320,287,0,287,33,TRUE,236,203,0,203,33,84,84,0,84,0,"niger","lavun","north_central"
"462",468,"51b0b213b0593c9c276ed391",454,136,0,136,318,TRUE,332,100,0,100,232,122,36,0,36,86,"kaduna","lere","northwest","51b0b206b0593c9c276ec747",156,136,17,153,3,TRUE,114,100,11,111,3,42,36,6,42,0,"kaduna","lere","northwest"
"463",469,"51b0b213b0593c9c276ed3a8",120,120,0,120,0,TRUE,78,78,0,78,0,42,42,0,42,0,"benue","logo","north_central","51b0b206b0593c9c276ec880",120,120,0,120,0,TRUE,78,78,0,78,0,42,42,0,42,0,"benue","logo","north_central"
"464",470,"51b0b213b0593c9c276ed101",253,109,0,109,144,TRUE,190,94,0,94,96,63,15,0,15,48,"kogi","lokoja","north_central","51b0b206b0593c9c276ec9b2",129,104,20,124,5,TRUE,111,89,17,106,5,18,15,3,18,0,"kogi","lokoja","north_central"
"465",471,"51b0b213b0593c9c276ed137",58,43,0,43,15,TRUE,37,27,0,27,10,21,16,0,16,5,"yobe","machina","northeast","51b0b206b0593c9c276ec8dc",47,43,4,47,0,TRUE,31,27,4,31,0,16,16,0,16,0,"yobe","machina","northeast"
"466",472,"51b0b213b0593c9c276ed397",216,134,0,134,82,TRUE,155,98,0,98,57,61,36,0,36,25,"adamawa","madagali","northeast","51b0b206b0593c9c276ec84e",141,134,7,141,0,TRUE,101,98,3,101,0,40,36,4,40,0,"adamawa","madagali","northeast"
"467",473,"51b0b213b0593c9c276ed27b",168,143,0,143,25,TRUE,146,128,0,128,18,22,15,0,15,7,"kano","madobi","northwest","51b0b206b0593c9c276ec7c2",164,143,0,143,21,TRUE,145,128,0,128,17,19,15,0,15,4,"kano","madobi","northwest"
"468",474,"51b0b213b0593c9c276ed2d9",61,31,0,31,30,TRUE,40,21,0,21,19,21,10,0,10,11,"borno","mafa","northeast","51b0b206b0593c9c276ec970",57,31,26,57,0,TRUE,40,21,19,40,0,17,10,7,17,0,"borno","mafa","northeast"
"469",475,"51b0b213b0593c9c276ed1e1",126,23,0,23,103,TRUE,83,4,0,4,79,43,19,0,19,24,"niger","magama","north_central","51b0b206b0593c9c276ec7c3",127,23,0,23,104,TRUE,79,4,0,4,75,48,19,0,19,29,"niger","magama","north_central"
"470",476,"51b0b213b0593c9c276ed392",35,25,0,25,10,TRUE,26,17,0,17,9,9,8,0,8,1,"borno","magumeri","northeast","51b0b206b0593c9c276ec85b",35,25,7,32,3,TRUE,18,17,1,18,0,17,8,6,14,3,"borno","magumeri","northeast"
"471",477,"51b0b213b0593c9c276ed342",49,36,0,36,13,TRUE,31,19,0,19,12,18,17,0,17,1,"katsina","mai_adua","northwest","51b0b206b0593c9c276ec916",117,36,81,117,0,TRUE,73,19,54,73,0,44,17,27,44,0,"katsina","mai_adua","northwest"
"472",478,"51b0b213b0593c9c276ed39b",153,37,0,37,116,TRUE,126,30,0,30,96,27,7,0,7,20,"borno","maiduguri","northeast","51b0b206b0593c9c276ec991",65,37,28,65,0,TRUE,45,30,15,45,0,20,7,13,20,0,"borno","maiduguri","northeast"
"473",479,"51b0b213b0593c9c276ed356",85,68,0,68,17,TRUE,66,53,0,53,13,19,15,0,15,4,"jigawa","maigatari","northwest","51b0b206b0593c9c276ec7c4",101,68,20,88,13,TRUE,81,53,18,71,10,20,15,2,17,3,"jigawa","maigatari","northwest"
"474",480,"51b0b213b0593c9c276ed28b",151,89,0,89,62,TRUE,97,63,0,63,34,54,26,0,26,28,"adamawa","maiha","northeast","51b0b206b0593c9c276ec98e",140,89,51,140,0,TRUE,94,63,31,94,0,46,26,20,46,0,"adamawa","maiha","northeast"
"475",481,"51b0b213b0593c9c276ed3a7",45,21,0,21,24,TRUE,32,16,0,16,16,13,5,0,5,8,"kebbi","maiyama","northwest","51b0b206b0593c9c276ec86b",111,21,90,111,0,TRUE,68,16,52,68,0,43,5,38,43,0,"kebbi","maiyama","northwest"
"476",482,"51b0b213b0593c9c276ed0f5",204,152,0,152,52,TRUE,149,126,0,126,23,55,26,0,26,29,"kaduna","makarfi","northwest","51b0b206b0593c9c276ec7c5",175,152,2,154,21,TRUE,143,126,0,126,17,32,26,2,28,4,"kaduna","makarfi","northwest"
"477",483,"51b0b213b0593c9c276ed24c",109,88,0,88,21,TRUE,80,67,0,67,13,29,21,0,21,8,"kano","makoda","northwest","51b0b206b0593c9c276ec7c6",97,88,0,88,9,TRUE,72,67,0,67,5,25,21,0,21,4,"kano","makoda","northwest"
"478",484,"51b0b213b0593c9c276ed20d",114,88,0,88,26,TRUE,92,69,0,69,23,22,19,0,19,3,"jigawa","mallam_madori","northwest","51b0b206b0593c9c276ec8d3",107,88,19,107,0,TRUE,88,69,19,88,0,19,19,0,19,0,"jigawa","mallam_madori","northwest"
"479",485,"51b0b213b0593c9c276ed3ad",186,112,0,112,74,TRUE,133,75,0,75,58,53,37,0,37,16,"katsina","malumfashi","northwest","51b0b206b0593c9c276eca29",126,111,15,126,0,TRUE,83,75,8,83,0,43,36,7,43,0,"katsina","malumfashi","northwest"
"480",486,"51b0b213b0593c9c276ed113",446,232,0,232,214,TRUE,336,172,0,172,164,110,60,0,60,50,"plateau","mangu","north_central","51b0b206b0593c9c276ec7c7",354,232,71,303,51,TRUE,257,172,42,214,43,97,60,29,89,8,"plateau","mangu","north_central"
"481",487,"51b0b213b0593c9c276ed221",79,72,0,72,7,TRUE,54,52,0,52,2,25,20,0,20,5,"katsina","mani","northwest","51b0b206b0593c9c276ec931",130,72,57,129,1,TRUE,87,52,35,87,0,43,20,22,42,1,"katsina","mani","northwest"
"482",488,"51b0b213b0593c9c276ed17b",202,66,0,66,136,TRUE,146,41,0,41,105,56,25,0,25,31,"zamfara","maradun","northwest","51b0b206b0593c9c276ec7c8",90,66,0,66,24,TRUE,59,41,0,41,18,31,25,0,25,6,"zamfara","maradun","northwest"
"483",489,"51b0b213b0593c9c276ed19e",189,29,0,29,160,TRUE,124,11,0,11,113,65,18,0,18,47,"niger","mariga","north_central","51b0b206b0593c9c276ec7c9",66,29,0,29,37,TRUE,39,11,0,11,28,27,18,0,18,9,"niger","mariga","north_central"
"484",490,"51b0b213b0593c9c276ed206",245,61,0,61,184,TRUE,163,38,0,38,125,82,23,0,23,59,"benue","makurdi","north_central","51b0b206b0593c9c276ec7ca",181,61,119,180,1,TRUE,126,38,87,125,1,55,23,32,55,0,"benue","makurdi","north_central"
"485",491,"51b0b213b0593c9c276ed1f1",62,21,0,21,41,TRUE,45,14,0,14,31,17,7,0,7,10,"borno","marte","northeast","51b0b206b0593c9c276ec85d",22,21,1,22,0,TRUE,14,14,0,14,0,8,7,1,8,0,"borno","marte","northeast"
"486",492,"51b0b213b0593c9c276ed109",337,154,0,154,183,TRUE,220,98,0,98,122,117,56,0,56,61,"zamfara","maru","northwest","51b0b206b0593c9c276ec73a",173,154,0,154,19,TRUE,117,98,0,98,19,56,56,0,56,0,"zamfara","maru","northwest"
"487",493,"51b0b213b0593c9c276ed33a",214,43,0,43,171,TRUE,143,17,0,17,126,71,26,0,26,45,"niger","mashegu","north_central","51b0b206b0593c9c276ec7cb",158,43,0,43,115,TRUE,109,17,0,17,92,49,26,0,26,23,"niger","mashegu","north_central"
"488",494,"51b0b213b0593c9c276ed33c",186,92,0,92,94,TRUE,117,54,0,54,63,69,38,0,38,31,"katsina","mashi","northwest","51b0b206b0593c9c276ec744",114,92,19,111,3,TRUE,76,54,19,73,3,38,38,0,38,0,"katsina","mashi","northwest"
