"","lga_id","X_id_facility_list","total_facility_list","matched_facility_list","rejected_facility_list","finished_facility_list","left_facility_list","full_facility_list","edu_total_facility_list","edu_matched_facility_list","edu_rejected_facility_list","edu_finished_facility_list","edu_left_facility_list","health_total_facility_list","health_matched_facility_list","health_rejected_facility_list","health_finished_facility_list","health_left_facility_list","state_facility_list","lga_facility_list","zone_facility_list","X_id_baseline","total_baseline","matched_baseline","rejected_baseline","finished_baseline","left_baseline","full_baseline","edu_total_baseline","edu_matched_baseline","edu_rejected_baseline","edu_finished_baseline","edu_left_baseline","health_total_baseline","health_matched_baseline","health_rejected_baseline","health_finished_baseline","health_left_baseline","state_baseline","lga_baseline","zone_baseline"
"330",335,"51b0b213b0593c9c276ed297",158,38,0,38,120,TRUE,58,21,0,21,37,100,17,0,17,83,"edo","ikpoba_okha","south_south","51b0b206b0593c9c276ec9f0",63,38,25,63,0,TRUE,32,21,11,32,0,31,17,14,31,0,"edo","ikpoba_okha","south_south"
"331",336,"51b0b213b0593c9c276ed177",104,33,0,33,71,TRUE,76,24,0,24,52,28,9,0,9,19,"rivers","ikwerre","south_south","51b0b206b0593c9c276ec9bf",82,33,49,82,0,TRUE,70,24,46,70,0,12,9,3,12,0,"rivers","ikwerre","south_south"
"332",337,"51b0b213b0593c9c276ed275",211,72,0,72,139,TRUE,134,56,0,56,78,77,16,0,16,61,"ebonyi","ikwo","southeast","51b0b206b0593c9c276ec9b4",84,72,12,84,0,TRUE,62,56,6,62,0,22,16,6,22,0,"ebonyi","ikwo","southeast"
"333",338,"51b0b213b0593c9c276ed0e8",120,87,0,87,33,TRUE,84,62,0,62,22,36,25,0,25,11,"abia","ikwuano","southeast","51b0b206b0593c9c276ec995",114,87,27,114,0,TRUE,85,62,23,85,0,29,25,4,29,0,"abia","ikwuano","southeast"
"334",339,"51b0b213b0593c9c276ed2db",112,42,0,42,70,TRUE,62,26,0,26,36,50,16,0,16,34,"osun","ila","southwest","51b0b206b0593c9c276ec90c",60,42,18,60,0,TRUE,34,26,8,34,0,26,16,10,26,0,"osun","ila","southwest"
"335",340,"51b0b213b0593c9c276ed1d0",77,44,0,44,33,TRUE,52,30,0,30,22,25,14,0,14,11,"ekiti","ilejemeje","southwest","51b0b206b0593c9c276ec8b2",47,44,3,47,0,TRUE,33,30,3,33,0,14,14,0,14,0,"ekiti","ilejemeje","southwest"
"336",341,"51b0b213b0593c9c276ed211",176,110,0,110,66,TRUE,130,77,0,77,53,46,33,0,33,13,"ondo","ile_oluji_okeigbo","southwest","51b0b206b0593c9c276ec74d",153,110,35,145,8,TRUE,116,77,31,108,8,37,33,4,37,0,"ondo","ile_oluji_okeigbo","southwest"
"337",342,"51b0b213b0593c9c276ed197",269,108,0,108,161,TRUE,217,89,0,89,128,52,19,0,19,33,"osun","ilesha_east","southwest","51b0b206b0593c9c276ec929",123,108,15,123,0,TRUE,103,89,14,103,0,20,19,1,20,0,"osun","ilesha_east","southwest"
"338",343,"51b0b213b0593c9c276ed2f1",111,58,0,58,53,TRUE,78,37,0,37,41,33,21,0,21,12,"osun","ilesha_west","southwest","51b0b206b0593c9c276ec8ea",106,58,46,104,2,TRUE,76,37,39,76,0,30,21,7,28,2,"osun","ilesha_west","southwest"
"339",344,"51b0b213b0593c9c276ed1eb",145,115,0,115,30,TRUE,103,84,0,84,19,42,31,0,31,11,"sokoto","illela","northwest","51b0b206b0593c9c276ec73d",127,115,0,115,12,TRUE,91,84,0,84,7,36,31,0,31,5,"sokoto","ILLELA","northwest"
"340",345,"51b0b213b0593c9c276ed187",255,128,0,128,127,TRUE,201,103,0,103,98,54,25,0,25,29,"kwara","ilorin_east","north_central","51b0b206b0593c9c276ec891",156,128,28,156,0,TRUE,118,103,15,118,0,38,25,13,38,0,"kwara","ilorin_east","north_central"
"341",346,"51b0b213b0593c9c276ed328",389,115,0,115,274,TRUE,312,90,0,90,222,77,25,0,25,52,"kwara","ilorin_south","north_central","51b0b206b0593c9c276ec89c",137,115,22,137,0,TRUE,101,90,11,101,0,36,25,11,36,0,"kwara","ilorin_south","north_central"
